id,code,attributes,period,index1,index2,index3,index4
3,100,New housing,2016 Q1,101.0,101.0,NA,NA
4,101,one-room flats on new housing,2016 Q1,101.0,101.0,NA,NA
5,102,two-room flats on new housing,2016 Q1,100.9,100.9,NA,NA
6,103,three-room flats on new housing,2016 Q1,101.0,101.0,NA,NA
7,200,Existing housing,2016 Q1,104.2,104.2,NA,NA
8,201,one-room flats on existing housing,2016 Q1,107.4,107.4,NA,NA
9,202,two-room flats on existing housing,2016 Q1,104.9,104.9,NA,NA
10,203,three-room flats on existing housing,2016 Q1,100.9,100.9,NA,NA
11,010,House price index,2016 Q2,NA,NA,NA,NA
12,100,New housing,2016 Q2,96.9,97.9,NA,NA
13,101,one-room flats on new housing,2016 Q2,95.8,96.8,NA,NA
14,102,two-room flats on new housing,2016 Q2,98.0,98.9,NA,NA
15,103,three-room flats on new housing,2016 Q2,96.9,97.9,NA,NA
16,200,Existing housing,2016 Q2,95.4,99.4,NA,NA
17,201,one-room flats on existing housing,2016 Q2,96.8,104.0,NA,NA
18,202,two-room flats on existing housing,2016 Q2,91.3,95.8,NA,NA
19,203,three-room flats on existing housing,2016 Q2,99.5,100.4,NA,NA
20,010,House price index,2016 Q3,NA,NA,NA,NA
21,100,New housing,2016 Q3,100.0,97.9,NA,NA
22,101,one-room flats on new housing,2016 Q3,97.2,94.0,NA,NA
23,102,two-room flats on new housing,2016 Q3,101.1,100.0,NA,NA
24,103,three-room flats on new housing,2016 Q3,103.0,100.8,NA,NA
25,200,Existing housing,2016 Q3,104.9,104.3,NA,NA
26,201,one-room flats on existing housing,2016 Q3,104.7,108.8,NA,NA
27,202,two-room flats on existing housing,2016 Q3,104.6,100.2,NA,NA
28,203,three-room flats on existing housing,2016 Q3,105.4,105.8,NA,NA
29,010,House price index,2016 Q4,NA,NA,NA,NA
30,100,New housing,2016 Q4,104.3,102.1,NA,NA
31,101,one-room flats on new housing,2016 Q4,106.0,99.7,NA,NA
32,102,two-room flats on new housing,2016 Q4,105.2,105.2,NA,NA
33,103,three-room flats on new housing,2016 Q4,99.5,100.3,NA,NA
34,200,Existing housing,2016 Q4,99.2,103.4,NA,NA
35,201,one-room flats on existing housing,2016 Q4,102.3,111.4,NA,NA
36,202,two-room flats on existing housing,2016 Q4,100.0,100.2,NA,NA
37,203,three-room flats on existing housing,2016 Q4,96.0,101.6,NA,NA
38,010,House price index,2017 Q1,NA,NA,NA,NA
